id,url,zh_tw,ja,en,translate,note
6h,https://www.busfan.club/genre/6h,10枚組,10枚組,Ten Clips
6n,https://www.busfan.club/genre/6n,16時間以上作品,16時間以上作品,More Than 16 Hours Of Footage
5e,https://www.busfan.club/genre/5e,3D,3D,3D
fd,https://www.busfan.club/genre/fd,4K,4K,4K
43,https://www.busfan.club/genre/43,4小時以上作品,4時間以上作品,Over 4 Hours
2h,https://www.busfan.club/genre/2h,69,シックスナイン,69
66,https://www.busfan.club/genre/66,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー,AV OPEN 2014 スーパーヘビー
69,https://www.busfan.club/genre/69,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級,AV OPEN 2014 ヘビー級
6a,https://www.busfan.club/genre/6a,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級,AV OPEN 2014 ミドル級
75,https://www.busfan.club/genre/75,AV OPEN 2015 SM/ハード部門,AV OPEN 2015 SM/ハード部門,AV OPEN 2015 S&M/Hardcore Division
70,https://www.busfan.club/genre/70,AV OPEN 2015 マニア/フェチ部門,AV OPEN 2015 マニア/フェチ部門,AV OPEN 2015 Kink/Fetish Division
73,https://www.busfan.club/genre/73,AV OPEN 2015 乙女部門,AV OPEN 2015 乙女部門,AV OPEN 2015 Virgin Division
72,https://www.busfan.club/genre/72,AV OPEN 2015 企画部門,AV OPEN 2015 企画部門,AV OPEN 2015 Variety Show Division
76,https://www.busfan.club/genre/76,AV OPEN 2015 女優部門,AV OPEN 2015 女優部門,AV OPEN 2015 Porn Star Division
71,https://www.busfan.club/genre/71,AV OPEN 2015 熟女部門,AV OPEN 2015 熟女部門,AV OPEN 2015 Cougar Division
74,https://www.busfan.club/genre/74,AV OPEN 2015 素人部門,AV OPEN 2015 素人部門,AV OPEN 2015 Amateur Division
7q,https://www.busfan.club/genre/7q,AVOPEN2016ドラマ・ドキュメンタリー部門,AVOPEN2016ドラマ・ドキュメンタリー部門,AVOPEN2016ドラマ・ドキュメンタリー部門
7m,https://www.busfan.club/genre/7m,AVOPEN2016ハード部門,AVOPEN2016ハード部門,AV OPEN 2016 S&M/Hardcore Division
7s,https://www.busfan.club/genre/7s,AVOPEN2016バラエティ部門,AVOPEN2016バラエティ部門,AVOPEN2016バラエティ部門
7n,https://www.busfan.club/genre/7n,AVOPEN2016マニア・フェチ部門,AVOPEN2016マニア・フェチ部門,AVOPEN2016マニア・フェチ部門
7o,https://www.busfan.club/genre/7o,AVOPEN2016乙女部門,AVOPEN2016乙女部門,AV OPEN 2016 Virgin Division
7k,https://www.busfan.club/genre/7k,AVOPEN2016人妻・熟女部門,AVOPEN2016人妻・熟女部門,AV OPEN 2016 Kink/Fetish Division
7l,https://www.busfan.club/genre/7l,AVOPEN2016企画部門,AVOPEN2016企画部門,AV OPEN 2016 Variety Show Division
7p,https://www.busfan.club/genre/7p,AVOPEN2016女優部門,AVOPEN2016女優部門,AV OPEN 2016 Porn Star Division
7r,https://www.busfan.club/genre/7r,AVOPEN2016素人部門,AVOPEN2016素人部門,AV OPEN 2016 Amateur Division
5q,https://www.busfan.club/genre/5q,DMM專屬,DMM配信限定,DMM Exclusive
g,https://www.busfan.club/genre/g,DMM獨家,独占配信,DMM Exclusive
4g,https://www.busfan.club/genre/4g,DVD多士爐,DVDトースター,DVD Toaster
7c,https://www.busfan.club/genre/7c,Don Cipote's choice,Don Cipote's choice,Don Cipote's choice
el,https://www.busfan.club/genre/el,M女,M女,M女
6k,https://www.busfan.club/genre/6k,M男,M男,Masochist Man
18,https://www.busfan.club/genre/18,OL,OL,Office Lady
5o,https://www.busfan.club/genre/5o,R-15,R-15,R-15
5n,https://www.busfan.club/genre/5n,R-18,R-18,Restricted to Under 
1b,https://www.busfan.club/genre/1b,SM,SM,BDSM
7x,https://www.busfan.club/genre/7x,VR専用,VR専用,VR
7d,https://www.busfan.club/genre/7d,Vシネマ,Vシネマ,Vシネマ
f0,https://www.busfan.club/genre/f0,お婆ちゃん,お婆ちゃん,お婆ちゃん
eu,https://www.busfan.club/genre/eu,お爺ちゃん,お爺ちゃん,お爺ちゃん
er,https://www.busfan.club/genre/er,お風呂,お風呂,お風呂
7g,https://www.busfan.club/genre/7g,アクション,アクション,Action
e3,https://www.busfan.club/genre/e3,アクメ・オーガズム,アクメ・オーガズム,アクメ・オーガズム
dy,https://www.busfan.club/genre/dy,アスリート,アスリート,アスリート
7f,https://www.busfan.club/genre/7f,アニメ,アニメ,Anime
7h,https://www.busfan.club/genre/7h,イメージビデオ（男性）,イメージビデオ（男性）,Pretty Boy
f4,https://www.busfan.club/genre/f4,エマニエル,エマニエル,エマニエル
ee,https://www.busfan.club/genre/ee,エロス,エロス,エロス
fc,https://www.busfan.club/genre/fc,オタク,オタク,オタク
dx,https://www.busfan.club/genre/dx,オナサポ,オナサポ,オナサポ
6v,https://www.busfan.club/genre/6v,キス・接吻,キス・接吻,Kiss Kiss
7v,https://www.busfan.club/genre/7v,コミック雑誌,コミック雑誌,コミック雑誌
fa,https://www.busfan.club/genre/fa,サイコ・スリラー,サイコ・スリラー,サイコ・スリラー
f9,https://www.busfan.club/genre/f9,サンプル動画,サンプル動画,サンプル動画
e8,https://www.busfan.club/genre/e8,スパンキング,スパンキング,スパンキング
