id,url,zh_tw,en,translate,note
tags?c7=161,https://javdb521.com/tags?c7=161,16小時以上作品,Over 16 hours,16小时以上作品,
uncensored?c2=18,https://javdb521.com/tags/uncensored?c2=18,1v1性交,Hardcore Fuck,1v1性交,
uncensored?c5=133,https://javdb521.com/tags/uncensored?c5=133,2018暢銷Top100,Fiscal 2018 selling top 100,2018暢銷Top100,
tags?c7=227,https://javdb521.com/tags?c7=227,3D,3D,3D,
uncensored?c2=30,https://javdb521.com/tags/uncensored?c2=30,3P,3P,3P,
western?c2=20,https://javdb521.com/tags/western?c2=20,3P,Threesome,3P,
tags?c7=347,https://javdb521.com/tags?c7=347,4K,4K,4K,
western?c2=34,https://javdb521.com/tags/western?c2=34,4P,Foursome,4P,
tags?c7=10,https://javdb521.com/tags?c7=10,4小時以上作品,4HR+,4小时以上作品,
tags?c5=25,https://javdb521.com/tags?c5=25,69,69,69,
uncensored?c2=135,https://javdb521.com/tags/uncensored?c2=135,69,69,69,
western?c2=12,https://javdb521.com/tags/western?c2=12,69,69,69,
tags?c3=297,https://javdb521.com/tags?c3=297,COSPLAY服飾,Cosplay Costumes,Cosplay,
uncensored?c5=131,https://javdb521.com/tags/uncensored?c5=131,DVD已售罄,DVD is being sold out!,DVD已售罄,
tags?c7=335,https://javdb521.com/tags?c7=335,HDTV,HD DVD,HDTV,
uncensored?c3=86,https://javdb521.com/tags/uncensored?c3=86,M女,M woman,M女,
uncensored?c2=22,https://javdb521.com/tags/uncensored?c2=22,M字開腿,M-leg,M字開腿,
tags?c1=63,https://javdb521.com/tags?c1=63,M男,Submissive Men,M男,
uncensored?c3=61,https://javdb521.com/tags/uncensored?c3=61,M男,Strap-M man Trombone,M男,
tags?c3=114,https://javdb521.com/tags?c3=114,OL,OL,OL,
uncensored?c4=98,https://javdb521.com/tags/uncensored?c4=98,OL,OL,OL,
tags?c7=311,https://javdb521.com/tags?c7=311,R-15,R-15,R-15,
tags?c6=60,https://javdb521.com/tags?c6=60,SM,SM,SM,
western?c0=119,https://javdb521.com/tags/western?c0=119,SM,SM,SM,
tags?c7=212,https://javdb521.com/tags?c7=212,VR,VR,VR,
tags?c5=374,https://javdb521.com/tags?c5=374,不穿內褲,No underwear,不穿内裤,
tags?c5=375,https://javdb521.com/tags?c5=375,不穿胸罩,No bra,不穿胸罩,
tags?c5=18,https://javdb521.com/tags?c5=18,中出,Creampie,中出,
uncensored?c2=9,https://javdb521.com/tags/uncensored?c2=9,中出,Creampie,中出,
tags?c7=148,https://javdb521.com/tags?c7=148,主觀視角,Subjectivity,主观视角,
tags?c5=14,https://javdb521.com/tags?c5=14,乳交,Titty Fuck,乳交,
uncensored?c2=43,https://javdb521.com/tags/uncensored?c2=43,乳交,Boobsjob,乳交,
western?c2=18,https://javdb521.com/tags/western?c2=18,乳交,Titty Fuck,乳交,
tags?c6=71,https://javdb521.com/tags?c6=71,乳液,Lotion,乳汁,
uncensored?c2=15,https://javdb521.com/tags/uncensored?c2=15,乳液,Complementary massage,乳汁,
tags?c6=353,https://javdb521.com/tags?c6=353,乳釘、穿孔、乳環,"Nipple, Piercing, Nipple Ring",乳钉、乳环,
tags?c1=54,https://javdb521.com/tags?c1=54,亂倫,Insult,乱伦,
uncensored?c2=56,https://javdb521.com/tags/uncensored?c2=56,亂倫,Incest,乱伦,
tags?c5=342,https://javdb521.com/tags?c5=342,二穴同入,Fit two holes,二穴同时插入,
uncensored?c2=10,https://javdb521.com/tags/uncensored?c2=10,二穴同插,Double Penetration,二穴同插,
tags?c1=316,https://javdb521.com/tags?c1=316,亞洲,Asian,亚洲,
western?c0=75,https://javdb521.com/tags/western?c0=75,亞洲人,Asian,亞洲人,
tags?c2=282,https://javdb521.com/tags?c2=282,亞洲女演員,Other Asian,亚洲女演员,
uncensored?c3=87,https://javdb521.com/tags/uncensored?c3=87,人妻,Married woman,人妻,
uncensored?c5=117,https://javdb521.com/tags/uncensored?c5=117,人氣標題,Popular title,人氣標題,
western?c0=178,https://javdb521.com/tags/western?c0=178,人體彩繪,Body Painting,人體彩繪,
tags?c7=26,https://javdb521.com/tags?c7=26,介紹影片,Image Video,介绍影片,
tags?c1=86,https://javdb521.com/tags?c1=86,企畫,Planning,企画,
tags?c2=233,https://javdb521.com/tags?c2=233,伴侶,Companion,伴侣,
western?c0=284,https://javdb521.com/tags/western?c0=284,俄國人,Russian,俄國人,
western?c0=197,https://javdb521.com/tags/western?c0=197,保姆,Babysitter,保姆,
western?c1=103,https://javdb521.com/tags/western?c1=103,修剪的陰毛,Trimmed Pussy,修剪的陰毛,
tags?c3=270,https://javdb521.com/tags?c3=270,修女,Nun,修女,
western?c2=10,https://javdb521.com/tags/western?c2=10,俯臥後入式,Prone Bone,俯臥後入式,
tags?c1=130,https://javdb521.com/tags?c1=130,倒追,Reserved Role,倒追,
tags?c6=372,https://javdb521.com/tags?c6=372,假陽具,Dildo,假陽具,
uncensored?c2=63,https://javdb521.com/tags/uncensored?c2=63,假陽具,Dildo,假陽具,
western?c4=112,https://javdb521.com/tags/western?c4=112,停車場,Parking Lot,停車場,
western?c2=16,https://javdb521.com/tags/western?c2=16,側躺後入,Spooning,側躺後入,
tags?c2=32,https://javdb521.com/tags?c2=32,偶像,Idol,偶像,
tags?c1=145,https://javdb521.com/tags?c1=145,偷窺,Voyeur,偷窥,
tags?c1=293,https://javdb521.com/tags?c1=293,偷窺,Peeping,偷窥,
uncensored?c2=138,https://javdb521.com/tags/uncensored?c2=138,偷窺,Voyeurism,偷窥,
western?c2=49,https://javdb521.com/tags/western?c2=49,偷窺,Voyeur,偷窥,
tags?c6=176,https://javdb521.com/tags?c6=176,催眠,Hypnosis,催眠,
western?c2=79,https://javdb521.com/tags/western?c2=79,傳教剪刀式,Splitter,傳教剪刀式,
western?c2=9,https://javdb521.com/tags/western?c2=9,傳教士,Missionary,傳教士,
tags?c3=216,https://javdb521.com/tags?c3=216,兔女郎,Bunny Girl,兔女郎,
western?c2=17,https://javdb521.com/tags/western?c2=17,內射,Creampie,內射,
tags?c3=49,https://javdb521.com/tags?c3=49,內衣,Lingerie,内衣,
western?c3=164,https://javdb521.com/tags/western?c3=164,內褲,Briefs,內褲,
tags?c1=218,https://javdb521.com/tags?c1=218,全裸,Nude,全裸,
tags?c5=354,https://javdb521.com/tags?c5=354,兩女一男,FFM,兩女一男,
western?c2=35,https://javdb521.com/tags/western?c2=35,兩女一男,FFM,兩女一男,
