id,url,zh_cn,zh_tw,en,ja,translate,note
3e02b9ce6931d674,https://avsox.website/cn/genre/3e02b9ce6931d674,1080p,1080p,1080p,1080p,1080p,
f545ddeb2f2c0f1f,https://avsox.website/cn/genre/f545ddeb2f2c0f1f,10代,10代,Teen,10代,10代,
b63ab58528339b7f,https://avsox.website/cn/genre/b63ab58528339b7f,60fps,60fps,60fps,60fps,60fps,
eaa8cebf3db8b605.319d02ebb80cd3c2.eeeb1c9f83c5ab7a,https://avsox.website/cn/genre/eaa8cebf3db8b605.319d02ebb80cd3c2.eeeb1c9f83c5ab7a,69,電マ,69,69,69,
5cfb5e2e6144f28d,https://avsox.website/cn/genre/5cfb5e2e6144f28d,AV女优,AV女優,AV Idol,AV女優,AV女优,
e6ef9e877dd518d5,https://avsox.website/cn/genre/e6ef9e877dd518d5,C罩杯,Cカップ,Cカップ,Cカップ,C罩杯,
b0b3be30e6bf490f,https://avsox.website/cn/genre/b0b3be30e6bf490f,D罩杯,Dカップ,Dカップ,Dカップ,D罩杯,
f6afb2e2522aa18d,https://avsox.website/cn/genre/f6afb2e2522aa18d,E罩杯,Eカップ,Eカップ,Eカップ,E罩杯,
1416cd14ca9bdedf,https://avsox.website/cn/genre/1416cd14ca9bdedf,F罩杯,Fカップ,Fカップ,Fカップ,F罩杯,
95b82295054855d4.71f5c2908264dd6b,https://avsox.website/cn/genre/95b82295054855d4.71f5c2908264dd6b,G罩杯,Gカップ,Gカップ,Gカップ,G罩杯,
0d8b0b9a2cd787e4.3efaca5a87bd549e,https://avsox.website/cn/genre/0d8b0b9a2cd787e4.3efaca5a87bd549e,H罩杯,Hカップ,Hカップ,Hカップ,H罩杯,
acd06367e58ebfae,https://avsox.website/cn/genre/acd06367e58ebfae,I罩杯,Iカップ,Iカップ,Iカップ,I罩杯,
7827f11c66965f3d,https://avsox.website/cn/genre/7827f11c66965f3d,KTV,カラオケルーム,Karaoke room,カラオケルーム,KTV,
410ec41bcb28f599.f820dbb71e7cbfde.265469190b0a3f29.0392e6662174933e,https://avsox.website/cn/genre/410ec41bcb28f599.f820dbb71e7cbfde.265469190b0a3f29.0392e6662174933e,SM,SM,SM,SM,SM,
75d6354dfa64230b,https://avsox.website/cn/genre/75d6354dfa64230b,S级女优,超有名S級女優,Famous Names,超有名S級女優,S级女优,
fbe3041e96f7c4c0,https://avsox.website/cn/genre/fbe3041e96f7c4c0,VIP,VIP,VIP,VIP,VIP,
168739e494ae5ba1.87e00283b80cbe2e,https://avsox.website/cn/genre/168739e494ae5ba1.87e00283b80cbe2e,丁字裤,Tバック、まんぐり返し,Tバック、まんぐり返し,Tバック、まんぐり返し,丁字裤,
e2bcc73663b66bef,https://avsox.website/cn/genre/e2bcc73663b66bef,丈夫,夫,夫,夫,丈夫,
64dbe6a80ede2770,https://avsox.website/cn/genre/64dbe6a80ede2770,上司,上司,上司,上司,上司,
4b235d5a021b29a1,https://avsox.website/cn/genre/4b235d5a021b29a1,下午,昼下がり,昼下がり,昼下がり,下午,
d801e3ee89c04d67,https://avsox.website/cn/genre/d801e3ee89c04d67,下流,卑猥,卑猥,卑猥,下流,
