id,url,zh_cn,zh_tw,en,ja,translate,note,,
a5ca,https://www.b49t.com/cn/vl_genre.php?g=a5ca,3D,3D,3D,3D,3D,,,
be,https://www.b49t.com/cn/vl_genre.php?g=be,4小时以上作品,4小時以上作品,4HR+,4時間以上作品,4小时以上作品,,,
dq,https://www.b49t.com/cn/vl_genre.php?g=dq,69,69,69,シックスナイン,69,,,
a4wq,https://www.b49t.com/cn/vl_genre.php?g=a4wq,COSPLAY服饰,COSPLAY服飾,Cosplay Costumes,コスプレ衣装,COSPLAY服饰,,,
a5fa,https://www.b49t.com/cn/vl_genre.php?g=a5fa,HD DVD,HD DVD,HD DVD,HD DVD,HD DVD,,,
a4zq,https://www.b49t.com/cn/vl_genre.php?g=a4zq,MicroSD,MicroSD,MicroSD,microSD,MicroSD,,,
aa3q,https://www.b49t.com/cn/vl_genre.php?g=aa3q,M男,M男,Submissive Men,M男,M男,,,
a4,https://www.b49t.com/cn/vl_genre.php?g=a4,OL,OL,OL,OL,OL,,,
ayia,https://www.b49t.com/cn/vl_genre.php?g=ayia,R-15,R-15,R-15,R-15,R-15,,,
aypa,https://www.b49t.com/cn/vl_genre.php?g=aypa,R-18,R-18,R-18,R-18,R-18,,,
ae,https://www.b49t.com/cn/vl_genre.php?g=ae,SM,SM,SM,SM,SM,,,
a4aq,https://www.b49t.com/cn/vl_genre.php?g=a4aq,UMD,UMD,UMD,UMD,UMD,,,
aycq,https://www.b49t.com/cn/vl_genre.php?g=aycq,VHS,VHS,VHS,VHS,VHS,,,
aaua,https://www.b49t.com/cn/vl_genre.php?g=aaua,VR,VR,VR,VR,VR,,,
oq,https://www.b49t.com/cn/vl_genre.php?g=oq,业余,業餘,Amateur,素人,业余,,,
ky,https://www.b49t.com/cn/vl_genre.php?g=ky,中出,中出,Creampie,中出し,中出,,,
jy,https://www.b49t.com/cn/vl_genre.php?g=jy,主观视角,主觀視角,Subjectivity,主観,主观视角,,,
a4ua,https://www.b49t.com/cn/vl_genre.php?g=a4ua,主题工作,主題工作,Topic Work,話題作,主题工作,,,
di,https://www.b49t.com/cn/vl_genre.php?g=di,乱伦,辱骂,亂倫,辱罵,乱伦,Insult,近親相姦,罵倒
pa,https://www.b49t.com/cn/vl_genre.php?g=pa,乳交,乳交,Titty Fuck,パイズリ,乳交,,,
d4,https://www.b49t.com/cn/vl_genre.php?g=d4,乳房,乳房,Breasts,美乳,乳房,,,
aqdq,https://www.b49t.com/cn/vl_genre.php?g=aqdq,乳液,乳液,Lotion,ローション,乳液,,,
azba,https://www.b49t.com/cn/vl_genre.php?g=azba,亚洲,亞洲,Asian,アジア,亚洲,,,
aqva,https://www.b49t.com/cn/vl_genre.php?g=aqva,亚洲女演员,亞洲女演員,Other Asian,アジア女優,亚洲女演员,,,
